Dataset: IRELAND
Runs: 15 seeds
Checkpoint selection: lowest validation composite loss

**------ Seed 1/15 ------**
[31/100] Train loss: 0.150245, Val composite loss: 0.145189, Val MAE: 2.796246, Val RMSE: 3.740911
[32/100] Train loss: 0.150235, Val composite loss: 0.145954, Val MAE: 2.814507, Val RMSE: 3.752154
[33/100] Train loss: 0.149946, Val composite loss: 0.146110, Val MAE: 2.812295, Val RMSE: 3.775340
[34/100] Train loss: 0.149848, Val composite loss: 0.145430, Val MAE: 2.808237, Val RMSE: 3.739826
[35/100] Train loss: 0.149896, Val composite loss: 0.145615, Val MAE: 2.797786, Val RMSE: 3.762648
[36/100] Train loss: 0.149108, Val composite loss: 0.145208, Val MAE: 2.789824, Val RMSE: 3.756075
[37/100] Train loss: 0.148962, Val composite loss: 0.144877, Val MAE: 2.790336, Val RMSE: 3.724451
[38/100] Train loss: 0.148760, Val composite loss: 0.144896, Val MAE: 2.786378, Val RMSE: 3.739749
[39/100] Train loss: 0.148614, Val composite loss: 0.145018, Val MAE: 2.789881, Val RMSE: 3.736021
[40/100] Train loss: 0.148662, Val composite loss: 0.146500, Val MAE: 2.815093, Val RMSE: 3.786025
[41/100] Train loss: 0.148447, Val composite loss: 0.145145, Val MAE: 2.791168, Val RMSE: 3.741942
[42/100] Train loss: 0.148301, Val composite loss: 0.145966, Val MAE: 2.820398, Val RMSE: 3.748886
[43/100] Train loss: 0.147746, Val composite loss: 0.144817, Val MAE: 2.794301, Val RMSE: 3.730204
[44/100] Train loss: 0.147569, Val composite loss: 0.145248, Val MAE: 2.792377, Val RMSE: 3.739625
[45/100] Train loss: 0.147454, Val composite loss: 0.144574, Val MAE: 2.781169, Val RMSE: 3.729676
[46/100] Train loss: 0.147347, Val composite loss: 0.144835, Val MAE: 2.786289, Val RMSE: 3.735675
[47/100] Train loss: 0.147308, Val composite loss: 0.145277, Val MAE: 2.793118, Val RMSE: 3.748044
[48/100] Train loss: 0.147269, Val composite loss: 0.144961, Val MAE: 2.789848, Val RMSE: 3.736420
[49/100] Train loss: 0.147097, Val composite loss: 0.145084, Val MAE: 2.794499, Val RMSE: 3.736754
[50/100] Train loss: 0.146951, Val composite loss: 0.145158, Val MAE: 2.801415, Val RMSE: 3.735416
[51/100] Train loss: 0.146340, Val composite loss: 0.145531, Val MAE: 2.809221, Val RMSE: 3.744147
[52/100] Train loss: 0.146306, Val composite loss: 0.144768, Val MAE: 2.783714, Val RMSE: 3.730539
[53/100] Train loss: 0.146107, Val composite loss: 0.145010, Val MAE: 2.790095, Val RMSE: 3.733086
[54/100] Train loss: 0.145993, Val composite loss: 0.144913, Val MAE: 2.785583, Val RMSE: 3.739027
[55/100] Train loss: 0.145888, Val composite loss: 0.145664, Val MAE: 2.799377, Val RMSE: 3.758749
[56/100] Train loss: 0.145415, Val composite loss: 0.145120, Val MAE: 2.792983, Val RMSE: 3.736470
Selected epoch: 45
Test MAE: 2.748821
Test RMSE: 3.697094

**------ Seed 4/15 ------**
[1/100] Train loss: 0.185619, Val composite loss: 0.158227, Val MAE: 3.065684, Val RMSE: 4.107262
[2/100] Train loss: 0.164648, Val composite loss: 0.155967, Val MAE: 3.027570, Val RMSE: 4.014904
[3/100] Train loss: 0.160950, Val composite loss: 0.153666, Val MAE: 2.968414, Val RMSE: 3.971489
[4/100] Train loss: 0.159277, Val composite loss: 0.152118, Val MAE: 2.943315, Val RMSE: 3.912146
[5/100] Train loss: 0.158467, Val composite loss: 0.150376, Val MAE: 2.902395, Val RMSE: 3.878899
[6/100] Train loss: 0.157784, Val composite loss: 0.150573, Val MAE: 2.911701, Val RMSE: 3.881869
[7/100] Train loss: 0.157017, Val composite loss: 0.153098, Val MAE: 2.983093, Val RMSE: 3.914972
[8/100] Train loss: 0.156753, Val composite loss: 0.151442, Val MAE: 2.936163, Val RMSE: 3.895983
[9/100] Train loss: 0.156468, Val composite loss: 0.149531, Val MAE: 2.890260, Val RMSE: 3.855857
