Dataset: USA
Runs: 15 seeds
Checkpoint selection: lowest validation composite loss

**------ Seed 1/15 ------**
[23/100] Train loss: 0.135969, Val composite loss: 0.144259, Val MAE: 1.211759, Val RMSE: 1.684366
[24/100] Train loss: 0.135887, Val composite loss: 0.142974, Val MAE: 1.214135, Val RMSE: 1.657307
[25/100] Train loss: 0.135719, Val composite loss: 0.142914, Val MAE: 1.211100, Val RMSE: 1.660901
[26/100] Train loss: 0.135719, Val composite loss: 0.143221, Val MAE: 1.207201, Val RMSE: 1.666999
[27/100] Train loss: 0.135583, Val composite loss: 0.143586, Val MAE: 1.211506, Val RMSE: 1.669442
[28/100] Train loss: 0.135548, Val composite loss: 0.142897, Val MAE: 1.207696, Val RMSE: 1.660254
[29/100] Train loss: 0.135458, Val composite loss: 0.143097, Val MAE: 1.206492, Val RMSE: 1.665969
[30/100] Train loss: 0.135239, Val composite loss: 0.142826, Val MAE: 1.207334, Val RMSE: 1.658587
[31/100] Train loss: 0.135170, Val composite loss: 0.143806, Val MAE: 1.209383, Val RMSE: 1.675797
[32/100] Train loss: 0.135081, Val composite loss: 0.142508, Val MAE: 1.203555, Val RMSE: 1.657972
[33/100] Train loss: 0.135036, Val composite loss: 0.143420, Val MAE: 1.215487, Val RMSE: 1.663710
[34/100] Train loss: 0.134946, Val composite loss: 0.143260, Val MAE: 1.207834, Val RMSE: 1.666998
[35/100] Train loss: 0.134796, Val composite loss: 0.144196, Val MAE: 1.209756, Val RMSE: 1.682471
[36/100] Train loss: 0.134679, Val composite loss: 0.142657, Val MAE: 1.210262, Val RMSE: 1.655016
[37/100] Train loss: 0.134647, Val composite loss: 0.142593, Val MAE: 1.205992, Val RMSE: 1.657016
[38/100] Train loss: 0.134340, Val composite loss: 0.142377, Val MAE: 1.208389, Val RMSE: 1.651583
[39/100] Train loss: 0.134245, Val composite loss: 0.145308, Val MAE: 1.215552, Val RMSE: 1.698563
[40/100] Train loss: 0.134123, Val composite loss: 0.142661, Val MAE: 1.202413, Val RMSE: 1.661263
[41/100] Train loss: 0.134086, Val composite loss: 0.142574, Val MAE: 1.204216, Val RMSE: 1.663629
[42/100] Train loss: 0.133995, Val composite loss: 0.143443, Val MAE: 1.206430, Val RMSE: 1.672396
[43/100] Train loss: 0.133863, Val composite loss: 0.142916, Val MAE: 1.206077, Val RMSE: 1.661517
[44/100] Train loss: 0.133624, Val composite loss: 0.142286, Val MAE: 1.206960, Val RMSE: 1.649760
[45/100] Train loss: 0.133402, Val composite loss: 0.142682, Val MAE: 1.203255, Val RMSE: 1.658677
[46/100] Train loss: 0.133326, Val composite loss: 0.142523, Val MAE: 1.201750, Val RMSE: 1.660465
[47/100] Train loss: 0.133261, Val composite loss: 0.142700, Val MAE: 1.203340, Val RMSE: 1.658966
[48/100] Train loss: 0.133292, Val composite loss: 0.142099, Val MAE: 1.204425, Val RMSE: 1.648385
[49/100] Train loss: 0.133237, Val composite loss: 0.142141, Val MAE: 1.204388, Val RMSE: 1.648817
[50/100] Train loss: 0.133174, Val composite loss: 0.142411, Val MAE: 1.203764, Val RMSE: 1.653489
[51/100] Train loss: 0.133224, Val composite loss: 0.142788, Val MAE: 1.204906, Val RMSE: 1.659579
