Dataset: UK
Runs: 15 seeds
Checkpoint selection: lowest validation composite loss

**------ Seed 1/15 ------**
[36/100] Train loss: 0.165402, Val composite loss: 0.160929, Val MAE: 2.862740, Val RMSE: 3.791803
[37/100] Train loss: 0.165318, Val composite loss: 0.159690, Val MAE: 2.840926, Val RMSE: 3.755889
[38/100] Train loss: 0.165173, Val composite loss: 0.160372, Val MAE: 2.846052, Val RMSE: 3.775720
[39/100] Train loss: 0.165069, Val composite loss: 0.160846, Val MAE: 2.859918, Val RMSE: 3.776357
[40/100] Train loss: 0.164910, Val composite loss: 0.159973, Val MAE: 2.835756, Val RMSE: 3.773899
[41/100] Train loss: 0.164606, Val composite loss: 0.160904, Val MAE: 2.864416, Val RMSE: 3.780863
[42/100] Train loss: 0.164386, Val composite loss: 0.161287, Val MAE: 2.851762, Val RMSE: 3.803543
[43/100] Train loss: 0.163809, Val composite loss: 0.160446, Val MAE: 2.855329, Val RMSE: 3.768196
[44/100] Train loss: 0.163435, Val composite loss: 0.160522, Val MAE: 2.850482, Val RMSE: 3.778355
[45/100] Train loss: 0.163545, Val composite loss: 0.159816, Val MAE: 2.835562, Val RMSE: 3.765097
[46/100] Train loss: 0.163215, Val composite loss: 0.160597, Val MAE: 2.859623, Val RMSE: 3.771299
[47/100] Train loss: 0.162987, Val composite loss: 0.159881, Val MAE: 2.843617, Val RMSE: 3.757337
[48/100] Train loss: 0.162344, Val composite loss: 0.160079, Val MAE: 2.843505, Val RMSE: 3.774283
Selected epoch: 37
Test MAE: 3.024364
Test RMSE: 4.025228

**------ Seed 5/15 ------**
[1/100] Train loss: 0.220983, Val composite loss: 0.179396, Val MAE: 3.207282, Val RMSE: 4.172995
[2/100] Train loss: 0.187239, Val composite loss: 0.178220, Val MAE: 3.172007, Val RMSE: 4.212157
[3/100] Train loss: 0.181179, Val composite loss: 0.169683, Val MAE: 3.038754, Val RMSE: 3.968007
[4/100] Train loss: 0.178195, Val composite loss: 0.167133, Val MAE: 2.981672, Val RMSE: 3.924822
[5/100] Train loss: 0.176627, Val composite loss: 0.164961, Val MAE: 2.933751, Val RMSE: 3.880519
[6/100] Train loss: 0.175690, Val composite loss: 0.167889, Val MAE: 3.009920, Val RMSE: 3.924544
[7/100] Train loss: 0.174735, Val composite loss: 0.166434, Val MAE: 2.971137, Val RMSE: 3.886566
[8/100] Train loss: 0.173792, Val composite loss: 0.164429, Val MAE: 2.916597, Val RMSE: 3.884499
[9/100] Train loss: 0.173352, Val composite loss: 0.165517, Val MAE: 2.924950, Val RMSE: 3.908375
